"term_name","Presence","ONTOLOGY","ontology_full"
"ceramide metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chaperone-mediated protein folding","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chlorophyll catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chloroplast-nucleus signaling pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chromatin organization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chromosome organization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"chromosome segregation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"clathrin-dependent endocytosis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"coenzyme A biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"copper ion transmembrane transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cytidine deamination","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cytoplasmic translation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"cytoskeleton organization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"dGTP catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"defense response to other organism","Scenario 1 (Adaptation Only)","BP","Biological Process"
"defense response to virus","Scenario 1 (Adaptation Only)","BP","Biological Process"
"dephosphorylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"detection of visible light","Scenario 1 (Adaptation Only)","BP","Biological Process"
"developmental process involved in reproduction","Scenario 1 (Adaptation Only)","BP","Biological Process"
"diterpenoid biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"electron transport coupled proton transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"endocytosis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Scenario 1 (Adaptation Only)","BP","Biological Process"
"endoplasmic reticulum to cytosol auxin transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"endosomal vesicle fusion","Scenario 1 (Adaptation Only)","BP","Biological Process"
"endosperm development","Scenario 1 (Adaptation Only)","BP","Biological Process"
"exon-exon junction complex disassembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Scenario 1 (Adaptation Only)","BP","Biological Process"
"fructose metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"galactose metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"gamma-tubulin complex localization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"generation of catalytic spliceosome for second transesterification step","Scenario 1 (Adaptation Only)","BP","Biological Process"
"gibberellin biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"glucan metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"glucose 6-phosphate metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"glucose metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"glycine biosynthetic process from serine","Scenario 1 (Adaptation Only)","BP","Biological Process"
"glyoxal metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"histidyl-tRNA aminoacylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"histone mRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"inositol trisphosphate metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intra-Golgi vesicle-mediated transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular glucose homeostasis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular iron ion homeostasis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular monoatomic ion homeostasis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular sequestering of iron ion","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular signal transduction","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intracellular transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"intralumenal vesicle formation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"iron ion transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"iron-sulfur cluster assembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"lipid biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"lipid catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"lysine biosynthetic process via aminoadipic acid","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mRNA 3'-end processing by stem-loop binding and cleavage","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mRNA splice site recognition","Scenario 1 (Adaptation Only)","BP","Biological Process"
"macroautophagy","Scenario 1 (Adaptation Only)","BP","Biological Process"
"maintenance of root meristem identity","Scenario 1 (Adaptation Only)","BP","Biological Process"
"maintenance of shoot apical meristem identity","Scenario 1 (Adaptation Only)","BP","Biological Process"
"maintenance of transcriptional fidelity during transcription elongation by RNA polymerase II","Scenario 1 (Adaptation Only)","BP","Biological Process"
"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Scenario 1 (Adaptation Only)","BP","Biological Process"
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","Scenario 1 (Adaptation Only)","BP","Biological Process"
"meiotic chromosome separation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"meiotic spindle assembly checkpoint signaling","Scenario 1 (Adaptation Only)","BP","Biological Process"
"methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitochondria-nucleus signaling pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitochondrial DNA replication","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitochondrial electron transport, cytochrome c to oxygen","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitochondrial translation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitochondrial translational elongation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitotic cell cycle checkpoint signaling","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitotic spindle assembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitotic spindle assembly checkpoint signaling","Scenario 1 (Adaptation Only)","BP","Biological Process"
"mitotic spindle organization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"molybdate ion transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"monosaccharide metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"multicellular organism development","Scenario 1 (Adaptation Only)","BP","Biological Process"
"multivesicular body assembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"negative regulation of gluconeogenesis","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear mRNA surveillance","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear polyadenylation-dependent CUT catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear polyadenylation-dependent antisense transcript catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear polyadenylation-dependent rRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear polyadenylation-dependent snRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear polyadenylation-dependent snoRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nuclear-transcribed mRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nucleocytoplasmic transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nucleosome disassembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"nucleotide-excision repair","Scenario 1 (Adaptation Only)","BP","Biological Process"
"one-carbon metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"oxidative RNA demethylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"pentose-phosphate shunt","Scenario 1 (Adaptation Only)","BP","Biological Process"
"peptidyl-arginine methylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"peptidyl-arginine methylation, to asymmetrical-dimethyl arginine","Scenario 1 (Adaptation Only)","BP","Biological Process"
"peptidyl-serine phosphorylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"peroxisomal membrane transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"phosphatidylinositol metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"phosphatidylinositol phosphate biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"photosystem I assembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"phototropism","Scenario 1 (Adaptation Only)","BP","Biological Process"
"plastid translation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"poly(A)-dependent snoRNA 3'-end processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of ERAD pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of SREBP signaling pathway","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of catalytic activity","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of helicase activity","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of transcription by RNA polymerase I","Scenario 1 (Adaptation Only)","BP","Biological Process"
"positive regulation of translation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"post-transcriptional regulation of gene expression","Scenario 1 (Adaptation Only)","BP","Biological Process"
"potassium ion transmembrane transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"potassium ion transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein N-linked glycosylation via asparagine","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein catabolic process in the vacuole","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein depalmitoylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein farnesylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein geranylgeranylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein glycosylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein histidyl modification to diphthamide","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein homooligomerization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein import into peroxisome matrix","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein insertion into mitochondrial outer membrane","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein localization to endoplasmic reticulum exit site","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein localization to kinetochore","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein localization to membrane","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein modification process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein palmitoylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein peptidyl-prolyl isomerization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein polyubiquitination","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein prenylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein repair","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein retention in ER lumen","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein retention in Golgi apparatus","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein targeting to ER","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein targeting to vacuole","Scenario 1 (Adaptation Only)","BP","Biological Process"
"protein-tetrapyrrole linkage","Scenario 1 (Adaptation Only)","BP","Biological Process"
"proteolysis involved in protein catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"rRNA catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"recombinational repair","Scenario 1 (Adaptation Only)","BP","Biological Process"
"red, far-red light phototransduction","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of ARF protein signal transduction","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of cell shape","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of circadian rhythm","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of flower development","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of gene expression","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of intracellular pH","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of long-day photoperiodism, flowering","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of photoperiodism, flowering","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of telomere maintenance via telomerase","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulation of translational fidelity","Scenario 1 (Adaptation Only)","BP","Biological Process"
"regulatory ncRNA-mediated gene silencing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"respiratory electron transport chain","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to auxin","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to ethylene","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to gibberellin","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to glucose","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to osmotic stress","Scenario 1 (Adaptation Only)","BP","Biological Process"
"response to salt stress","Scenario 1 (Adaptation Only)","BP","Biological Process"
"ribosomal large subunit assembly","Scenario 1 (Adaptation Only)","BP","Biological Process"
"root meristem specification","Scenario 1 (Adaptation Only)","BP","Biological Process"
"signal peptide processing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sodium ion import across plasma membrane","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sodium ion transport","Scenario 1 (Adaptation Only)","BP","Biological Process"
"spermidine biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"spermine biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"spindle elongation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"stabilization of membrane potential","Scenario 1 (Adaptation Only)","BP","Biological Process"
"stem vascular tissue pattern formation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sterol metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"subtelomeric heterochromatin formation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sucrose catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sucrose metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"sulfate assimilation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"superoxide metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tRNA 5'-leader removal","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tRNA aminoacylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tRNA aminoacylation for protein translation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tRNA wobble adenosine to inosine editing","Scenario 1 (Adaptation Only)","BP","Biological Process"
"telomere capping","Scenario 1 (Adaptation Only)","BP","Biological Process"
"terpene biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tetrahydrobiopterin biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tetrahydrofolate biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tetrahydrofolate interconversion","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tetrahydrofolate metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tetrapyrrole biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"thiamine biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"thylakoid membrane organization","Scenario 1 (Adaptation Only)","BP","Biological Process"
"transcription elongation by RNA polymerase II","Scenario 1 (Adaptation Only)","BP","Biological Process"
"transcription elongation-coupled chromatin remodeling","Scenario 1 (Adaptation Only)","BP","Biological Process"
"transcription initiation-coupled chromatin remodeling","Scenario 1 (Adaptation Only)","BP","Biological Process"
"transcription-coupled nucleotide-excision repair","Scenario 1 (Adaptation Only)","BP","Biological Process"
"triglyceride catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"tryptophanyl-tRNA aminoacylation","Scenario 1 (Adaptation Only)","BP","Biological Process"
"ubiquinone biosynthetic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"uracil salvage","Scenario 1 (Adaptation Only)","BP","Biological Process"
"xenobiotic detoxification by transmembrane export across the plasma membrane","Scenario 1 (Adaptation Only)","BP","Biological Process"
"xylan catabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"xyloglucan metabolic process","Scenario 1 (Adaptation Only)","BP","Biological Process"
"AP-type membrane coat adaptor complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"COPII-coated ER to Golgi transport vesicle","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Cul4A-RING E3 ubiquitin ligase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Dsl1/NZR complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"ESCRT I complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"GID complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Golgi stack","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"PcG protein complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Pwp2p-containing subcomplex of 90S preribosome","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"RNA polymerase II, core complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Rab-protein geranylgeranyltransferase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"Smc5-Smc6 complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"U1 snRNP","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"U12-type spliceosomal complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"U2-type post-spliceosomal complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"U4/U6 x U5 tri-snRNP complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"U5 snRNP","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"apoplast","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"chloroplast envelope","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"chloroplast nucleoid","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"chloroplast outer membrane","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"clathrin coat of coated pit","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"clathrin coat of trans-Golgi network vesicle","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"clathrin vesicle coat","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"cytoplasmic exosome (RNase complex)","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"eukaryotic translation initiation factor 4F complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"gamma-tubulin ring complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"intracellular anatomical structure","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"kinetochore","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"large ribosomal subunit","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"lipid droplet","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"mRNA cleavage and polyadenylation specificity factor complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"microtubule associated complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"mitochondrial large ribosomal subunit","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"mitochondrial nucleoid","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"mitotic spindle","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nascent polypeptide-associated complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nuclear exosome (RNase complex)","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nuclear pore","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nuclear pore inner ring","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nuclear telomere cap complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nucleoid","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nucleoplasm","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nucleotide-excision repair complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"nucleotide-excision repair factor 3 complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"oxoglutarate dehydrogenase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"phosphopantothenoylcysteine decarboxylase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"plant-type vacuole","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"plant-type vacuole membrane","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"preribosome, large subunit precursor","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"proteasome core complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"proteasome core complex, beta-subunit complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"protein farnesyltransferase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"recycling endosome membrane","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"replication fork","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"signal peptidase complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"signal recognition particle receptor complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"spindle","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"spindle microtubule","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"spliceosomal complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"trans-Golgi network membrane","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"transcription elongation factor complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"transcription factor TFIIH holo complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"transcription preinitiation complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"transcription regulator complex","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"vacuolar membrane","Scenario 1 (Adaptation Only)","CC","Cellular Component"
"(+)-abscisic acid 8'-hydroxylase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"1-deoxy-D-xylulose-5-phosphate reductoisomerase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"1-phosphatidylinositol-4-phosphate 5-kinase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"23S rRNA (adenine(1618)-N(6))-methyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"3'-5' DNA helicase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"3'-5' exonuclease activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"3'-5'-RNA exonuclease activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"4-hydroxy-tetrahydrodipicolinate synthase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"5'-3' RNA exonuclease activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"5'-nucleotidase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ADP-ribose diphosphatase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ATP citrate synthase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ATP phosphoribosyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ATP-dependent FeS chaperone activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ATP-dependent activity, acting on DNA","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ATPase-coupled monoatomic cation transmembrane transporter activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"D-glucose binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"DNA N-glycosylase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"DNA-(apurinic or apyrimidinic site) endonuclease activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"DNA-directed 5'-3' RNA polymerase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"ER retention sequence binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"FAD binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"FMN adenylyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"G-rich strand telomeric DNA binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"GDP-dissociation inhibitor activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"GTP cyclohydrolase I activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"Hsp70 protein binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"IAA-Ala conjugate hydrolase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"L-ascorbic acid binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"L-galactose dehydrogenase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"L-malate dehydrogenase (NAD+) activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"MAP kinase kinase kinase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"NAD(P)H oxidase H2O2-forming activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"NADH dehydrogenase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"NADPH binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"NADPH-hemoprotein reductase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"P-type calcium transporter activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"RNA 7-methylguanosine cap binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"RNA polymerase II complex binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"RNA polymerase binding","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"Rab geranylgeranyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"Rho GDP-dissociation inhibitor activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"UDP-glucose 4-epimerase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"UDP-glucose:glycoprotein glucosyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"acyltransferase activity, acyl groups converted into alkyl on transfer","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"adenosylmethionine decarboxylase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"adenylylsulfate kinase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"alanine-tRNA ligase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"alpha-L-arabinofuranosidase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"alpha-amylase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"amino acid transmembrane transporter activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"aminoacyl-tRNA editing activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"aminoacyl-tRNA ligase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"arabinosyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"argininosuccinate lyase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"biotin--[biotin carboxyl-carrier protein] ligase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
"broad specificity oxidative DNA demethylase activity","Scenario 1 (Adaptation Only)","MF","Molecular Function"
